Time,Counts
4/4/2025 16:18:35 ,12
4/4/2025 16:18:45 ,19
4/4/2025 16:18:55 ,26
4/4/2025 16:19:5 ,32
4/4/2025 16:19:15 ,41
4/4/2025 16:19:25 ,44
4/4/2025 16:19:35 ,46
4/4/2025 16:19:45 ,51
4/4/2025 16:19:55 ,53
4/4/2025 16:20:5 ,57
4/4/2025 16:20:15 ,66
4/4/2025 16:20:25 ,71
