Time,Counts
4/4/2025 16:24:42 ,5
4/4/2025 16:24:52 ,6
4/4/2025 16:25:2 ,11
4/4/2025 16:25:12 ,12
4/4/2025 16:25:22 ,20
4/4/2025 16:25:32 ,26
4/4/2025 16:25:42 ,28
4/4/2025 16:25:52 ,32
4/4/2025 16:26:2 ,35
4/4/2025 16:26:12 ,37
4/4/2025 16:26:22 ,39
4/4/2025 16:26:32 ,46
