Time,Counts
4/4/2025 16:15:36 ,2
4/4/2025 16:15:46 ,7
4/4/2025 16:15:56 ,14
4/4/2025 16:16:6 ,21
4/4/2025 16:16:16 ,26
4/4/2025 16:16:26 ,35
4/4/2025 16:16:36 ,39
4/4/2025 16:16:46 ,43
4/4/2025 16:16:56 ,48
4/4/2025 16:17:6 ,60
4/4/2025 16:17:16 ,66
4/4/2025 16:17:26 ,72
