Time,Latitude,Longitude,counts
1746226400.11,37.87314104531332,-122.25942273842054,36.4
1746226405.1,37.87314104531332,-122.25942273842054,39.6
1746226410.06,37.87314308950595,-122.25941962534834,39.6
1746226415.08,37.87314308950595,-122.25941962534834,32.4
1746226420.08,37.87303099786538,-122.25939689345388,38.8
1746226425.09,37.87310454769207,-122.25929404470556,38.4
1746226430.09,37.8731501384911,-122.25928498920175,34.8
1746226435.09,37.87321404641012,-122.25928466536571,35.0
1746226440.09,37.87317032177153,-122.25928135992822,33.0
1746226445.12,37.87271763401639,-122.25942611282687,35.8
1746226450.08,37.872781747488546,-122.25939644254588,35.6
1746226455.09,37.8730460091332,-122.25932019286275,34.4
1746226460.07,37.8730460091332,-122.25932019286275,34.4
1746226465.09,37.873005070758865,-122.25962863315107,39.6
1746226470.08,37.8730350360627,-122.25965637725056,33.2
1746226475.09,37.8730350360627,-122.25965637725056,42.6
1746226480.08,37.873148971365396,-122.25933668521026,32.0
1746226485.1,37.87321845749113,-122.25924577612189,33.6
1746226490.08,37.873225450059415,-122.25924754718429,35.0
1746226495.09,37.87303352732013,-122.25965168338479,34.6
1746226500.09,37.87303352732013,-122.25965168338479,30.4
1746226505.1,37.87303352732013,-122.25965168338479,37.0
1746226510.06,37.87289960577492,-122.25958412277976,37.0
1746226515.11,37.872809912745346,-122.25953887453139,34.2
