Time,Latitude,Longitude,counts
1746224636.1,37.87290131094748,-122.2561766173302,29.4
1746224641.09,37.8728836299378,-122.2561518827202,36.8
1746224646.06,37.87288727088063,-122.25616954415767,36.8
1746224651.09,37.872887813688514,-122.25617621540472,35.2
1746224656.1,37.87286147836307,-122.25614631523908,31.6
1746224661.09,37.8728412480328,-122.25624918463444,31.6
1746224666.09,37.872852072596096,-122.25611412622233,33.8
1746224671.09,37.87287187244333,-122.25617497410484,35.8
1746224676.08,37.8728563911195,-122.25621777564321,37.4
1746224681.13,37.87282627485136,-122.2561897135158,40.4
1746224686.09,37.87286506741017,-122.25613202520307,36.2
1746224691.08,37.872886930828436,-122.25623880157002,30.0
1746224696.06,37.87277563457906,-122.25575228939732,30.0
1746224701.09,37.87283233294234,-122.25585186604604,29.4
1746224706.08,37.87288579637761,-122.2560511995865,31.4
1746224711.08,37.872905296789845,-122.25612638852428,33.6
1746224716.09,37.872906625306115,-122.25628014665307,33.6
1746224721.09,37.87298914514284,-122.25620445806743,28.8
1746224726.09,37.87298914514284,-122.25620445806743,35.6
1746224731.08,37.87298914514298,-122.25620445806743,32.2
1746224736.12,37.87298914514298,-122.25620445806743,27.8
1746224741.09,37.87291018850941,-122.25616721649526,31.2
1746224746.09,37.872785846493294,-122.2561015874076,33.6
1746224751.06,37.872819551443115,-122.25611543210992,33.6
1746224756.08,37.8729007575885,-122.2561488317554,34.2
