Time,Latitude,Longitude,counts
1746226029.5,37.8710217029209,-122.2592262179798,36.2
1746226034.49,37.87096316029255,-122.2591582768851,37.4
1746226039.5,37.8707423934133,-122.25906583555424,37.0
1746226044.49,37.87074244648583,-122.25912136004524,40.0
1746226049.49,37.87073977037303,-122.25912299030644,39.6
1746226054.49,37.87067076570225,-122.25906512257069,39.6
1746226059.49,37.87034331608058,-122.25937140998725,41.0
1746226064.49,37.870232835292626,-122.25937419084741,37.8
1746226069.49,37.87051721459991,-122.2590468788171,34.2
1746226074.49,37.87065285477216,-122.25904937282382,41.2
1746226079.46,37.87082868805155,-122.25918890614797,41.2
1746226084.53,37.87087418018899,-122.25923028208601,36.8
1746226089.49,37.87073433711412,-122.2591176471483,35.6
1746226094.49,37.87074257929753,-122.25912439415276,43.8
1746226099.48,37.8706645767775,-122.25905933123559,32.0
1746226104.5,37.87065604314313,-122.25905221886848,36.8
1746226109.49,37.870718263456126,-122.25910405758914,36.4
1746226114.49,37.87073857878028,-122.25912098506419,43.6
1746226119.49,37.87043315556468,-122.2588664657766,41.0
1746226124.49,37.87071491503897,-122.25910126511965,34.0
1746226129.46,37.87076770461621,-122.25914525630829,34.0
1746226134.49,37.870733712993335,-122.25911692996011,32.6
1746226139.49,37.870479731170605,-122.25890527843418,37.8
