Time,Latitude,Longitude,counts
1746224345.69,37.873717867804714,-122.25739200610877,43.6
1746224350.66,37.87360990225586,-122.25710626898922,38.8
1746224355.7,37.873674484087175,-122.2573645635448,44.6
1746224360.66,37.873668559682855,-122.25737677920034,38.4
1746224365.67,37.87366834712326,-122.25734113720532,39.8
1746224370.64,37.87367483094568,-122.25729390391325,39.8
1746224375.66,37.87367637833899,-122.25726107217092,41.4
1746224380.67,37.873657820959295,-122.257340393826,39.6
1746224385.66,37.873693332659805,-122.25732885988627,38.2
1746224390.67,37.87359985060792,-122.25798318173946,37.0
1746224395.66,37.87364687308471,-122.25781990226568,41.4
1746224400.66,37.87364938765566,-122.25781185563864,45.0
1746224405.66,37.87364938765566,-122.25781185563864,34.0
1746224410.66,37.87366796513031,-122.25745816864958,40.0
1746224415.66,37.87365500795799,-122.2574656593694,46.8
1746224420.64,37.873635677564415,-122.25729897161102,46.8
1746224425.69,37.873634866605904,-122.25730457890376,37.4
1746224430.66,37.87365360846249,-122.25730713908231,40.6
1746224435.66,37.87367006198407,-122.2572830930078,34.2
1746224440.66,37.87362324791656,-122.25743838855746,39.4
1746224445.66,37.87362629995234,-122.25740866685831,38.2
1746224450.67,37.87362653517088,-122.25740644018191,31.4
1746224455.66,37.873626542908,-122.25740636696925,38.4
1746224460.67,37.873632164224475,-122.25726064928077,38.6
1746224465.67,37.873652759150545,-122.25729742557164,34.6
