Time,Latitude,Longitude,counts
1746223337.72,37.87537286925629,-122.25921027838152,43.2
1746223342.68,37.8753717965939,-122.25921044157978,42.0
1746223347.71,37.87545404428363,-122.25920465094603,40.6
1746223352.69,37.875459387755456,-122.2592055541577,38.6
1746223357.69,37.87538406609587,-122.25918546537109,45.6
1746223362.69,37.87546824423969,-122.25927845580527,48.6
1746223367.69,37.87550188305586,-122.25920785332693,48.6
1746223372.69,37.87550890467159,-122.25919133326255,45.6
1746223377.69,37.87561481096029,-122.25938705116363,37.8
1746223382.7,37.8755764116393,-122.25920884981086,32.4
1746223387.69,37.87558709264594,-122.25926464384625,41.2
1746223392.69,37.875590429533396,-122.2593233729002,40.6
1746223397.69,37.87565827721384,-122.25940903969058,51.6
1746223402.69,37.875699160368704,-122.25943849229172,57.6
1746223407.69,37.875826556958,-122.25921068129789,47.6
1746223412.69,37.875492078940844,-122.2592120641485,56.0
1746223417.7,37.87573992414668,-122.25938743363102,53.8
1746223422.66,37.875845569453915,-122.25945890302971,53.8
1746223427.72,37.87585748863691,-122.25932469979305,54.0
1746223432.69,37.87583897917392,-122.25920352575208,47.4
1746223437.71,37.87586275789546,-122.25918001426929,50.2
1746223442.69,37.875866193522626,-122.2591322012648,51.0
1746223447.73,37.875873587861406,-122.25910021472994,48.8
1746223452.69,37.875873587861406,-122.25910021472994,51.6
1746223457.71,37.87587488283284,-122.25911382260529,49.2
1746223462.69,37.87582467400897,-122.25920999225633,52.0
1746223467.69,37.8758536355664,-122.25918677540294,46.6
