Time,Latitude,Longitude,counts
1746223705.41,37.875440935639546,-122.25890426907898,32.0
1746223710.41,37.875440935639546,-122.25890426907898,33.6
1746223715.41,37.8753738013543,-122.25894804760637,35.2
1746223720.4,37.87535267571444,-122.2588720589627,35.2
1746223725.42,37.87535132573924,-122.25892273681472,39.4
1746223730.42,37.87548376716475,-122.25885984499217,38.2
1746223735.43,37.8754837671649,-122.25885984499219,36.4
1746223740.43,37.87536289024592,-122.2588988183026,33.6
1746223745.43,37.8754837671649,-122.25885984499219,39.6
1746223750.46,37.8754837671649,-122.25885984499219,36.6
1746223755.43,37.8754837671649,-122.25885984499219,36.8
1746223760.43,37.8754837671649,-122.25885984499219,32.2
1746223765.44,37.8754837671649,-122.25885984499219,34.6
1746223770.43,37.8754837671649,-122.25885984499219,30.8
1746223775.4,37.8754837671649,-122.25885984499219,30.8
1746223780.42,37.8754837671649,-122.25885984499219,36.6
1746223785.43,37.8753643914376,-122.25890626592445,41.8
1746223790.42,37.875362853981514,-122.25890352717528,35.4
1746223795.42,37.87546922456275,-122.25889789883257,37.2
1746223800.42,37.87546922456275,-122.25889789883257,34.8
1746223805.42,37.87546922456275,-122.25889789883257,38.0
1746223810.44,37.87538018707158,-122.25894082158828,34.2
1746223815.41,37.875367414926195,-122.25894381915879,42.0
1746223820.41,37.87535416235503,-122.25894412148597,35.8
1746223825.39,37.87536112963551,-122.25891335075049,35.8
1746223830.42,37.875359626300316,-122.25891410525436,42.8
