Time,Latitude,Longitude,counts
1746226711.43,37.87504530180229,-122.2601079684719,26.8
1746226716.41,37.87485122684191,-122.25971044052602,26.8
1746226721.42,37.87483789961587,-122.25970708776475,24.8
1746226726.41,37.87483291238348,-122.25971924152435,28.8
1746226731.41,37.87483291238348,-122.25971924152435,29.0
1746226736.42,37.874921725602576,-122.26009015565069,29.2
1746226741.39,37.87491575233827,-122.26007347198896,29.2
1746226746.43,37.87471328617959,-122.26005398211919,23.0
1746226751.46,37.87498190117737,-122.26016445448019,27.8
1746226756.43,37.874814681744084,-122.2597151343918,30.2
1746226761.41,37.874806467478976,-122.25971890624822,28.8
1746226766.42,37.874834035212494,-122.25985020178783,27.6
1746226771.42,37.87487374907611,-122.26003934512688,29.4
1746226776.43,37.87506001242927,-122.26004759007486,25.6
1746226781.41,37.874868830041066,-122.26008983887064,28.8
1746226786.42,37.87486660556316,-122.2600441947626,26.2
1746226791.4,37.87490809390452,-122.26004836798259,26.2
1746226796.41,37.874940701941206,-122.26005562570798,29.6
1746226801.41,37.874915366754344,-122.2599969811713,26.4
1746226806.41,37.87488252366889,-122.25997453411333,32.4
1746226811.42,37.87491891230917,-122.26009916358625,32.2
1746226816.45,37.874993556122384,-122.2600976502141,30.8
1746226821.41,37.87505337633656,-122.25998760916636,31.2
1746226826.41,37.87505126232,-122.2599460887692,27.6
1746226831.41,37.87509238022966,-122.26004579828471,30.6
1746226836.42,37.87480078556487,-122.26000577221004,32.0
1746226841.42,37.874819474016185,-122.2599822966902,25.6
