Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1745016960.61,0,0,33.2,0.0,0.0,0.0,25.75875,41.7697778532854,1004.8590915210704,70.09544223932633,51366.6
1745016965.56,0,0,37.0,0.0,0.0,0.0,25.75875,41.7697778532854,1004.8590915210704,70.09544223932633,51366.6
1745016970.63,0,0,39.6,0.0,0.0,0.0,25.810546875,41.79128285084573,1004.8575173570883,70.10863667410317,55462.8
1745016975.58,0,0,33.0,0.0,0.0,0.0,25.826523437499997,41.638440048410175,1004.85440569345,70.134718558031,58672.0
1745016980.62,0,0,36.0,0.0,0.0,0.0,25.824374999999996,41.38963952989556,1004.8400390509472,70.25513988999757,61617.8
1745016985.59,0,0,37.4,0.0,0.0,0.0,25.818242187499997,41.12872776137541,1004.8338075037287,70.30737325529363,64145.4
1745016990.63,0,0,34.2,0.0,0.0,0.0,25.805117187499995,40.872257254356114,1004.8419541932977,70.23908719116591,66364.2
1745016995.57,0,0,34.2,0.0,0.0,0.0,25.7948828125,41.00941393594696,1004.8405181112885,70.25112443984915,68654.6
1745017000.61,0,0,33.0,0.0,0.0,0.0,25.7841796875,41.040702468243,1004.8453021497223,70.21102439806282,70976.8
1745017005.59,0,0,36.6,0.0,0.0,0.0,25.7751171875,40.98316456633994,1004.849635600003,70.17470138949123,73053.0
1745017010.62,0,0,31.8,0.0,0.0,0.0,25.764101562499995,40.998788335246935,1004.861594673034,70.0744609640141,74996.0
1745017015.64,0,0,37.2,0.0,0.0,0.0,25.748515625,41.11738671035489,1004.8726834951783,69.9815157715166,76995.6
1745017020.63,0,0,33.0,0.0,0.0,0.0,25.7292578125,41.13331113764713,1004.8676007058373,70.0241189855445,78806.6
1745017025.59,0,0,36.2,0.0,0.0,0.0,25.7158203125,41.07887223889763,1004.8650911877241,70.04515346192646,80599.6
1745017030.62,0,0,38.4,0.0,0.0,0.0,25.707265625,41.10199415026081,1004.8611685769699,70.07803240541077,82525.2
1745017035.59,0,0,29.8,0.0,0.0,0.0,25.700234374999997,41.037449332804684,1004.8667392879788,70.03133926884615,84335.0
1745017040.61,0,0,34.8,0.0,0.0,0.0,25.6896484375,40.99057674348492,1004.8647203720709,70.04826166545884,86025.6
1745017045.6,0,0,35.8,0.0,0.0,0.0,25.6699609375,41.00885098294593,1004.8466951442817,70.19934828674386,87608.8
1745017050.6,0,0,35.8,0.0,0.0,0.0,25.649492187499998,40.976535542816954,1004.84450946569,70.21766869997809,89308.2
1745017055.59,0,0,35.4,0.0,0.0,0.0,25.6269921875,40.87669133072465,1004.8407309413644,70.24934041714961,90830.0
1745017060.59,0,0,40.0,0.0,0.0,0.0,25.5990234375,40.88803614676804,1004.8485798410775,70.18355074700744,92346.6
1745017065.61,0,0,36.0,0.0,0.0,0.0,25.5689453125,40.857096993380836,1004.8529578035544,70.14685467750935,96181.4
1745017070.59,0,0,28.4,0.0,0.0,0.0,25.5552734375,40.813554515306365,1004.8476083939682,70.19169340116957,97636.2
1745017075.62,0,0,35.8,0.0,0.0,0.0,25.543359375,40.98047821894263,1004.847593516394,70.19181814026601,99023.8
1745017080.59,0,0,35.4,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017085.63,0,0,31.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017090.55,0,0,33.2,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017095.58,0,0,38.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017100.53,0,0,38.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017105.58,0,0,32.2,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017110.56,0,0,39.2,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017115.58,0,0,34.2,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017120.56,0,0,34.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017125.59,0,0,28.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017130.55,0,0,37.6,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017135.59,0,0,33.6,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017140.56,0,0,32.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017145.64,0,0,29.8,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017150.55,0,0,33.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017155.57,0,0,33.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017160.56,0,0,24.2,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017165.58,0,0,20.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017170.56,0,0,22.6,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017175.58,0,0,25.6,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017180.56,0,0,22.2,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017185.58,0,0,24.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017190.57,0,0,26.4,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017195.58,0,0,24.4,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017200.56,0,0,26.4,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017205.57,0,0,26.4,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017210.6,0,0,26.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017215.58,0,0,21.2,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017220.56,0,0,19.8,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017225.59,0,0,28.4,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017230.56,0,0,24.2,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017235.59,0,0,20.4,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017240.56,0,0,28.4,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017245.59,0,0,25.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017250.57,0,0,25.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017255.57,0,0,25.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017260.56,0,0,21.6,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017265.59,0,0,26.4,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017270.55,0,0,22.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017275.58,0,0,27.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017280.56,0,0,29.4,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017285.59,0,0,33.0,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017290.55,0,0,36.4,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017295.63,0,0,34.2,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017300.55,0,0,35.2,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017305.58,0,0,35.8,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017310.53,0,0,35.8,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017315.59,0,0,30.8,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017320.56,0,0,32.6,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017325.59,0,0,40.4,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017330.56,0,0,33.4,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017335.59,0,0,39.8,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017340.56,0,0,37.4,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
1745017345.59,0,0,34.6,0.0,0.0,0.0,25.533515625,41.87473585395143,1004.8338597946606,70.30693496394692,98770.6
