Time,Latitude,Longitude,counts
1746224069.62,37.87419087543431,-122.25864359759746,29.4
1746224074.59,37.874174069649605,-122.25870885984399,28.8
1746224079.58,37.87419352650834,-122.2587250009271,24.4
1746224084.59,37.8742004405417,-122.25872190776205,25.6
1746224089.56,37.874221804921916,-122.2587341578201,25.6
1746224094.61,37.87418684591088,-122.25872239651736,29.2
1746224099.59,37.87406925125885,-122.2587163117529,29.4
1746224104.59,37.87418627779728,-122.25883476522492,29.0
1746224109.59,37.87420746799004,-122.25872957867601,29.0
1746224114.59,37.87408751721011,-122.25877230574949,30.2
1746224119.59,37.874113107028734,-122.25873275776482,28.8
1746224124.59,37.87412098416534,-122.25871923881951,26.4
1746224129.59,37.873981333957644,-122.25874777003861,30.8
1746224134.59,37.874125300045016,-122.25875503329158,26.6
1746224139.56,37.874125894443154,-122.25867734376011,26.6
1746224144.59,37.874116487599714,-122.2587082208347,27.2
1746224149.59,37.874151123189314,-122.25868906005789,28.4
1746224154.59,37.87416222708436,-122.25867700818246,31.2
1746224159.62,37.87415994439968,-122.25868288006163,31.8
1746224164.59,37.87413116579454,-122.25872310368,28.6
1746224169.59,37.87420152168336,-122.25874593927806,33.6
1746224174.59,37.87418505602012,-122.2587354338843,31.8
1746224179.59,37.87423283668977,-122.25870260137347,29.4
1746224184.59,37.87425482032581,-122.2586935449408,30.2
1746224189.59,37.87415802512237,-122.25867506850206,29.2
1746224194.56,37.87411349363427,-122.25865063268901,29.2
