Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1745617323.74,0,0,30.8,0.0,0.0,1.0,24.0611328125,28.728622619558138,1002.7571779968354,87.72847550869507,147504.0
1745617328.66,0,0,28.6,0.0,0.0,1.0,23.7749609375,31.7888451866445,1002.7392557353269,87.87895472350628,67254.4
1745617333.69,0,0,29.2,0.0,0.0,1.0,23.7936328125,31.279787149144816,1002.7455554822463,87.82606036140012,109234.2
1745617338.66,0,0,29.6,0.0,0.0,1.0,23.9205078125,30.85916495193552,1002.7320923006222,87.93910106222971,126621.6
1745617343.65,0,0,33.4,0.0,0.0,1.0,24.094453125,30.59035771662093,1002.7202455486165,88.03857071127187,137135.2
1745617348.7,0,0,34.6,0.0,0.2,1.0,24.289453125,30.391986530690115,1002.7334370873186,87.92780995144297,143567.6
1745617353.71,0,0,32.8,0.0,0.2,1.0,24.428554687500004,30.19685626134798,1002.7289543877553,87.96544796254435,148843.0
1745617358.69,0,0,31.0,0.6,1.0,1.0,24.559492187500002,30.030263701641683,1002.7144628764958,88.08712448031541,152644.6
1745617363.66,0,0,37.0,0.6,1.0,1.0,24.661992187499997,29.79892546459156,1002.7163565294861,88.07122447761552,156004.4
1745617368.67,0,0,37.0,0.0,1.0,1.0,24.659414062499998,29.58248101576686,1002.7142164904559,88.08919328044976,158977.0
1745617373.66,0,0,38.4,0.0,1.0,1.0,24.580820312500002,29.440121568963583,1002.7334408198124,87.92777844828883,161740.0
1745617378.69,0,0,37.4,0.0,0.4,0.4,24.481093750000003,29.370665237773522,1002.7280429795055,87.97310052627907,163413.6
1745617383.65,0,0,34.8,0.0,0.4,0.4,24.384882812500003,29.434945343318144,1002.7269815170317,87.98201291163561,165369.4
1745617388.69,0,0,37.0,0.0,1.0,1.0,24.302421875,29.5304176533139,1002.7226621077025,88.01828032826629,166301.2
1745617393.65,0,0,32.6,0.0,1.0,1.0,24.269921875,29.69470681458257,1002.7100750091028,88.1239669891348,167274.8
1745617398.68,0,0,35.2,0.0,0.0,0.0,24.2629296875,29.943824470363076,1002.708003903778,88.14135700748457,168518.4
1745617403.66,0,0,39.8,0.0,0.0,0.0,24.270000000000003,30.110778295549444,1002.7112494519522,88.1141058154268,168936.2
1745617408.69,0,0,37.8,0.0,0.0,0.0,24.298281250000002,30.42857455092518,1002.7301585954585,87.95533732656487,170271.0
1745617413.66,0,0,43.2,0.0,0.0,0.0,24.285390625,30.41851449889457,1002.7421110838925,87.85498036996566,172498.2
1745617418.67,0,0,43.2,0.0,0.0,0.0,24.208359374999997,30.22847611441898,1002.7491116223409,87.79620229089112,173441.6
1745617423.66,0,0,39.8,0.0,0.0,0.0,24.0791796875,30.229810807905118,1002.7439615724885,87.83944338759805,173407.0
1745617428.69,0,0,37.8,0.0,1.0,1.0,23.9919140625,30.385669689169937,1002.7264051244263,87.98685253812803,174022.6
1745617433.63,0,0,37.4,0.0,1.0,1.0,23.9919140625,30.385669689169937,1002.7264051244263,87.98685253812803,174022.6
1745617438.75,0,0,37.4,0.0,1.0,1.0,23.9025390625,30.536979182929496,1002.7199907052254,88.0407104273443,175057.4
1745617443.65,0,0,40.8,0.0,1.0,1.0,23.849609375,30.652311654878282,1002.7316265698024,87.94301154324373,175997.0
1745617448.69,0,0,40.0,0.0,0.4,0.4,23.82796875,30.783867445985287,1002.7347397984998,87.91687175045607,176382.2
1745617453.66,0,0,37.2,0.0,0.4,0.4,23.849179687500005,30.89228288232386,1002.7431172969585,87.84653196878574,176207.2
1745617458.69,0,0,39.6,0.0,1.0,1.0,23.85,30.952979351156415,1002.7542224020417,87.75329117630358,178053.2
1745617463.66,0,0,34.6,0.0,1.0,1.0,23.7382421875,30.80083843618951,1002.7538094907243,87.75675802610718,179351.2
1745617468.7,0,0,31.6,0.0,1.0,1.0,23.570234375000002,30.748303841450856,1002.7413361571689,87.86148688131028,179824.4
1745617473.63,0,0,31.6,0.0,1.0,1.0,23.419804687499997,30.794827695931268,1002.7440671588168,87.83855673655444,180117.8
1745617478.69,0,0,33.0,0.0,1.6,1.6,23.31015625,30.969348667315863,1002.7497031298299,87.79123583313591,179616.6
1745617483.66,0,0,30.8,0.0,1.6,1.6,23.2463671875,31.25922509096125,1002.7391489925712,87.87985090747523,180302.8
1745617488.69,0,0,31.4,0.0,1.0,1.0,23.262929687499998,31.376488561247122,1002.7413214002212,87.86161077172972,183514.6
1745617493.66,0,0,33.6,0.0,1.0,1.0,23.310703124999996,31.385139262016956,1002.738416375503,87.8860021482524,180854.2
1745617498.69,0,0,30.0,0.0,0.4,0.4,23.4018359375,31.41333337222627,1002.7333264571638,87.92873862344787,186252.6
1745617503.66,0,0,37.2,0.0,0.4,0.4,23.430273437500002,31.543073359886783,1002.7598892885399,87.70571163097482,187687.6
1745617508.7,0,0,30.0,0.0,1.0,1.0,23.1994921875,31.52180498027436,1002.8152098697644,87.24124326599178,189685.4
1745617513.67,0,0,35.4,0.0,1.0,1.0,22.69171875,31.662260443728474,1002.8861682122281,86.6455123830999,190607.2
1745617518.69,0,0,29.8,0.0,1.0,1.0,22.032968750000002,32.06695906808439,1002.9661790151971,85.97381912228332,190100.0
1745617523.64,0,0,29.8,0.0,1.0,1.0,21.612031249999998,32.706969931090455,1002.9990149295785,85.69817342192258,190245.4
1745617528.69,0,0,30.8,0.0,1.0,1.0,21.3930078125,33.37745767671729,1003.0063872259743,85.63628677694476,187295.4
1745617533.72,0,0,31.6,0.0,1.0,1.0,21.2871484375,34.08253420001406,1003.0026484600323,85.66767185221974,188661.4
1745617538.69,0,0,30.6,0.0,1.0,1.0,21.251328125,34.608007324245605,1003.0105762236142,85.60112243997368,188926.4
1745617543.63,0,0,29.6,0.0,1.0,1.0,21.251328125,34.608007324245605,1003.0105762236142,85.60112243997368,188926.4
1745617548.7,0,0,28.8,0.4,1.0,1.0,21.250898437500002,35.01323342076076,1003.0088261492219,85.61581335964374,187118.8
1745617553.66,0,0,26.8,0.4,1.0,1.0,21.25390625,35.27584478005295,1003.040512689137,85.34982620761858,187221.6
1745617558.69,0,0,29.4,0.2,1.0,1.0,21.1958984375,35.23009109517989,1003.1093671448067,84.77186284770195,189438.6
1745617563.66,0,0,27.6,0.2,1.0,1.0,21.082265624999998,35.186042308122424,1003.178751581096,84.18948187701992,190801.4
1745617568.69,0,0,32.2,0.0,1.0,1.0,20.9544921875,35.26613434928851,1003.2639331840488,83.47455312753323,191345.2
1745617573.67,0,0,34.6,0.0,1.0,1.0,20.863671875,35.416528705294695,1003.3347138937017,82.88052539507063,190582.0
1745617578.67,0,0,34.6,0.0,1.0,1.0,20.7566796875,35.618563387093886,1003.3600197285057,82.66815474373148,190809.4
1745617583.66,0,0,30.0,0.0,1.0,1.0,20.694414062499998,35.807717967935616,1003.3706614715147,82.5788487356819,191041.4
1745617588.69,0,0,26.4,0.0,1.0,1.0,20.665117187499998,35.95859858701034,1003.3743235946428,82.54811626718308,191545.0
1745617593.7,0,0,31.4,0.0,1.0,1.0,20.5966015625,36.061922776739095,1003.3936881306547,82.38561111409493,192138.4
1745617598.69,0,0,32.2,0.0,1.0,1.0,20.4902734375,36.12697953312016,1003.4057289737896,82.28456647909465,192286.2
1745617603.66,0,0,35.0,0.0,1.0,1.0,20.26625,36.324375518584,1003.4427289134288,81.97407807524893,191306.8
1745617608.69,0,0,32.8,0.0,0.4,0.4,19.8830859375,36.714278455244695,1003.5359836971074,81.19155963737145,191525.6
1745617613.66,0,0,31.2,0.0,0.4,0.4,19.5208203125,37.21968235894123,1003.6086831629366,80.58156403318894,192800.2
1745617618.69,0,0,29.6,0.6,1.0,1.0,19.265703124999998,37.698224947410274,1003.6530945423694,80.20894129756982,192670.0
1745617623.66,0,0,27.2,0.6,1.0,1.0,19.15765625,38.0275010768606,1003.6560693621404,80.18398218210223,193055.8
1745617628.67,0,0,27.2,0.0,1.0,1.0,19.138749999999998,38.26548679137893,1003.6618206230185,80.13572880036388,192927.6
1745617633.66,0,0,31.0,0.0,1.0,1.0,19.1740234375,38.47402102635797,1003.663417925108,80.12232745762972,192905.2
1745617638.68,0,0,29.2,0.0,0.6,0.6,19.229921875,38.64381076376374,1003.665556189324,80.1043873779349,193055.6
1745617643.66,0,0,33.6,0.0,0.6,0.6,19.2646875,38.732993628178995,1003.6704534550705,80.06329967219604,193700.4
1745617648.68,0,0,31.0,0.0,0.8,0.8,19.204921875,38.80104489509172,1003.7584550092237,79.3249999883351,193743.2
1745617653.66,0,0,32.4,0.0,0.8,0.8,18.895664062499996,38.850107437832094,1003.891962494775,78.20501592933223,194007.0
1745617658.69,0,0,32.6,0.0,1.0,1.0,18.473085937499995,39.061894183081975,1004.0042827937399,77.26286192812316,193708.2
1745617663.66,0,0,29.0,0.0,1.0,1.0,18.220976562500002,39.48639306686233,1004.0571170079868,76.81971050521551,191800.4
1745617668.7,0,0,28.8,0.0,1.0,1.0,18.100703125000003,39.89909060223235,1004.0700104151399,76.71156943826816,192542.2
1745617673.67,0,0,29.6,0.0,1.0,1.0,18.100703125000003,39.89909060223235,1004.0700104151399,76.71156943826816,192542.2
1745617678.72,0,0,30.6,0.0,1.0,1.0,18.0536328125,40.2207155752046,1004.0935871813839,76.51382687503288,191554.4
1745617683.63,0,0,30.6,0.0,1.0,1.0,18.047890625,40.44046006167132,1004.0826928194859,76.60519955780399,194092.8
1745617688.69,0,0,31.6,0.0,1.0,1.0,18.003750000000004,40.52843816970572,1004.0827864673013,76.60441399948321,195139.6
1745617693.66,0,0,29.0,0.0,1.0,1.0,17.89296875,40.61676469658342,1004.1226701059383,76.2699098988838,195749.6
1745617698.66,0,0,24.8,0.0,1.0,1.0,17.6096484375,40.79669613875784,1004.2116944358444,75.52329814903483,197461.4
1745617703.69,0,0,29.0,0.0,2.0,2.0,17.2513671875,41.102228896701206,1004.3305500606064,74.52658908385072,196524.0
